2025-05-11 19:01:06,215 - __main__ - INFO - Starting newsletter automation process
2025-05-11 19:01:06,215 - __main__ - INFO - Processing newsletter for date: 2025-05-10
2025-05-11 19:01:06,215 - __main__ - INFO - Running newsletter generation...
2025-05-11 19:01:06,697 - __main__ - ERROR - [newsletter generation] 2025-05-11 19:01:06,696 - INFO - Starting new run. Log file: logs/newsletter_20250511_190106.log
2025-05-11 19:01:06,698 - __main__ - ERROR - [newsletter generation] 2025-05-11 19:01:06,698 - INFO - Starting news scraping...
2025-05-11 19:01:06,698 - __main__ - ERROR - [newsletter generation] 2025-05-11 19:01:06,698 - INFO - Processing articles from visir...
2025-05-11 19:01:06,796 - __main__ - INFO - [newsletter generation] 
2025-05-11 19:01:06,806 - __main__ - ERROR - [newsletter generation] 
2025-05-11 19:01:07,938 - __main__ - ERROR - [newsletter generation] Processing articles:   0%|          | 0/83 [00:00<?, ?article/s]
2025-05-11 19:01:09,092 - __main__ - ERROR - [newsletter generation] Processing articles:   1%|          | 1/83 [00:01<01:32,  1.13s/article]
2025-05-11 19:01:10,252 - __main__ - INFO - [newsletter generation] Progress: Processing articles:   2%|▏         | 2/83 [00:02<01:32,  1.14s/article]
2025-05-11 19:01:11,438 - __main__ - INFO - [newsletter generation] Progress: Processing articles:   4%|▎         | 3/83 [00:03<01:32,  1.15s/article]
2025-05-11 19:01:12,623 - __main__ - INFO - [newsletter generation] Progress: Processing articles:   5%|▍         | 4/83 [00:04<01:32,  1.17s/article]
2025-05-11 19:01:13,924 - __main__ - INFO - [newsletter generation] Progress: Processing articles:   6%|▌         | 5/83 [00:05<01:31,  1.17s/article]
2025-05-11 19:01:15,045 - __main__ - INFO - [newsletter generation] Progress: Processing articles:   7%|▋         | 6/83 [00:07<01:33,  1.22s/article]
2025-05-11 19:01:16,200 - __main__ - INFO - [newsletter generation] Progress: Processing articles:   8%|▊         | 7/83 [00:08<01:30,  1.18s/article]
2025-05-11 19:01:17,383 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  10%|▉         | 8/83 [00:09<01:28,  1.18s/article]
2025-05-11 19:01:18,576 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  11%|█         | 9/83 [00:10<01:27,  1.18s/article]
2025-05-11 19:01:19,719 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  12%|█▏        | 10/83 [00:11<01:26,  1.18s/article]
2025-05-11 19:01:20,871 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  13%|█▎        | 11/83 [00:12<01:24,  1.17s/article]
2025-05-11 19:01:22,039 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  14%|█▍        | 12/83 [00:14<01:22,  1.16s/article]
2025-05-11 19:01:23,171 - __main__ - INFO - [newsletter generation] Progress: Processing articles:  16%|█▌        | 13/83 [00:15<01:21,  1.17s/article]
